WO,Cargo Source,Bound,Commodity,Mode,Term,From,To,FCL_Tues,Air_Kg,LCL_Cbm,PP_CC,Profit
VOL18050413,Nomination,Inbound,Construction Material,LCL,CIF/CNF,Melbourne (Australia),Sihanoukville (Cambodia),,,3.81,PP,73.10
VOL18020160,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,73.00
VOL18020360,Nomination,Outbound,Fak,Air,FOB,Ho Chi Minh (Vietnam),Manchester (UK),,189.00,,PP,72.80
VOL18080024,Nomination,Outbound,Seagrass Ware,FCL,FOB,Hai Phong (Vietnam),Barcelona (Spain),3,,,CC,71.00
VOL18060416,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Chennai (India),1,,,PP,71.00
VOL18020271,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,16.70,CC,70.64
VOL18040375,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),2,,,PP,70.50
VOL18100334 ,Free Hand,Inbound,Auto Parts,LCL,Inland,Dalian (China),Hai Phong (Vietnam),,,1.17,PP,111.36
VOL18010166,Nomination,Outbound,Glassware,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,70.00
VOL18070140,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),1,,,CC,70.00
VOL18090269,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),1,,,CC,70.00
VOL18100555 ,Nomination,Outbound,Hardware,FCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),1,,,CC,70.00
VOL18080265,Free Hand,Inbound,Lubricant,FCL,Inland,Odessa (Ukraine),Ho Chi Minh (Vietnam),1,,,PP,69.91
VOL18080317,Free Hand,Inbound,Construction Material,FCL,Inland,Singapore (Singapore),Ho Chi Minh (Vietnam),1,,,PP,69.91
VOL18090124,Nomination,Outbound,Steel Stainless,LCL,FOB,Ho Chi Minh (Vietnam),Auckland (New Zealand),,,5.60,CC,68.60
VOL18090461,Free Hand,Inbound,Sporting Goods; Parts & Acessories,FCL,Inland,Port Kembla (Australia),Ho Chi Minh (Vietnam),2,,,PP,68.18
VOL18050294,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,68.00
VOL18080054,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),2,,,PP,67.05
VOL18090123,Nomination,Outbound,Leather,LCL,FOB,Ho Chi Minh (Vietnam),Hong Kong (Hong Kong),,,1.00,PP,67.00
VOL18100102,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Sihanoukville (Cambodia),2,,,PP,66.67
VOL18020263,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,15.75,CC,66.62
VOL18060048,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Valencia (Spain),2,,,CC,66.00
VOL18090307,Nomination,Outbound,Leather,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,1.00,PP,66.00
VOL18040141,Nomination,Outbound,Bag and Luggage,Air,EXW,Ha Noi (Vietnam),Male (Maldives),,45.00,,PP,65.74
VOL18070063,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18070062,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18080375,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18090430 ,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18100318,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18100319,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18100419,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18100418,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18110182 ,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,65.50
VOL18050182,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),New Delhi (India),,,2.60,CC,65.40
VOL18110035,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Shuwaikh (Kuwait),2,,,CC,65.18
VOL18080567,Nomination,Inbound,Fabrics & Yarns,FCL,DDU,Xiamen (China),Phnom Penh (Cambodia),2,,,PP,65.05
VOL18030700,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,65.00
VOL18050205,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),,,8.20,CC,65.00
VOL18020141/ w.o bổ sung: VOL18020468,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),2,,,PP,65.00
VOL18030067,Free Hand,Inbound,Fabrics & Yarns,FCL,DDU,Guangzhou (China),Sihanoukville (Cambodia),2,,,PP,65.00
VOL18010622 + VOL18010724,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Shanghai (China),1,,,PP,65.00
VOL18110424,Nomination,Outbound,Candy,LCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),0,0.00,15.70,CC,107.86
VOL18060341,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),1,,,PP,63.00
VOL18010365,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,9.02,CC,62.96
VOL18030086,Free Hand,Inbound,Fabrics & Yarns,Air,DDU,Tianjin  (China),Phnom Penh (Cambodia),,37.50,,PP,62.50
VOL18010363,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Denver, CO (USA)",,,14.72,CC,61.97
VOL18040476,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),,,3.30,CC,61.40
VOL18090144,Free Hand,Outbound,Plastic Goods,FCL,Inland,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,61.36
VOL18050410,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),"Vitoria, ES (Brazil)",2,,,CC,61.00
VOL18050066,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),2,,,PP,60.50
VOL18010316,Free Hand,Inbound,Fak,Air,DDU,Shenzhen (China),Ho Chi Minh (Vietnam),,174.00,,PP,60.49
VOL18040488,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Hai Phong (Vietnam),Shanghai (China),,,1.18,PP,60.05
VOL18080128,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Inchon (South Korea),1,,,CC,60.00
VOL18050353,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,60.00
VOL18020122,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,60.00
VOL18030268,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Dammam (Saudi Arabia),2,,,PP,60.00
VOL18040317,Nomination,Outbound,Chemicals (Non-Hazardous),FCL,FOB,Ho Chi Minh (Vietnam),Jakarta (Indonesia),1,,,PP,60.00
VOL18050253,Nomination,Outbound,Fak,LCL,FOB,Hai Phong (Vietnam),Bangkok (Thailand),,,1.00,PP,60.00
VOL18010753,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,1.00,PP,60.00
VOL18070015,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Colombo (Sri Lanka),4,,,CC,60.00
VOL18090010,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Inchon (South Korea),1,,,CC,60.00
VOL18060371,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Shimizu (Japan),1,,,PP,59.00
VOL18030441,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Dalian (China),2,,,CC,58.70
VOL18080481,Nomination,Outbound,Frozen Seafood,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),1,,,CC,58.00
VOL18060420,Nomination,Inbound,Fak,LCL,CIF/CNF,Shenzhen (China),Ho Chi Minh (Vietnam),,,2.03,PP,57.78
VOL18050287,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),4,,,CC,57.00
VOL18070028,Nomination,Outbound,Cosmetics,Courier,EXW,Ho Chi Minh (Vietnam),Melbourne (Australia),,12.50,,PP,56.97
VOL18020102,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),3,,,CC,56.82
VOL18030195,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),3,,,CC,56.82
VOL18020499,Free Hand,Outbound,Fak,FCL,Inland,Ho Chi Minh (Vietnam),Hamburg (Germany),1,,,CC,56.82
VOL18030539,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Port Klang (Malaysia),4,,,CC,56.36
VOL18060239,Free Hand,Inbound,Fak,Air,CIF/CNF,Bangkok (Thailand),Ho Chi Minh (Vietnam),,45.00,,PP,55.82
VOL18110178 ,Free Hand,Inbound,Electrical Equipment,Air,Inland,Inchon (South Korea),Ho Chi Minh (Vietnam),,45.00,,PP,55.45
VOL18080216,Nomination,Outbound,Paper Product,Express/Courier,Inland,Ho Chi Minh (Vietnam),Sydney (Australia),,1.50,,PP,55.30
VOL18040241,Nomination,Outbound,Construction Material,FCL,FOB,Hai Phong (Vietnam),Nhava Sheva (India),2,,,PP,55.00
VOL18010119,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Klaipeda (Lithuania),2,,,CC,55.00
VOL18010249,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Chittagong (Bangladesh),1,,,PP,55.00
VOL18040271,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Ancona (Italy),1,,,CC,55.00
VOL18050556,Nomination,Outbound,Foodstuffs,FCL,FOB,Sihanoukville (Cambodia),Shekou (China),2,,,CC,55.00
VOL18010366,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"New York, NY (USA)",4,,,CC,55.00
VOL18080462,Nomination,Outbound,Foodstuffs,FCL,FOB,Phnom Penh (Cambodia),Shekou (China),2,,,CC,55.00
VOL18080400,Nomination,Outbound,Auto Parts,LCL,FOB,Hai Phong (Vietnam),Jakarta (Indonesia),,,9.04,CC,55.00
VOL18090290,Nomination,Outbound,Auto Parts,LCL,FOB,Hai Phong (Vietnam),Jakarta (Indonesia),,,10.28,CC,55.00
VOL18090326,Nomination,Outbound,Foodstuffs,FCL,FOB,Phnom Penh (Cambodia),Shekou (China),2,,,CC,55.00
VOL18060001,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Chennai (India),,,16.30,CC,54.45
VOL18080393,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),2,,,CC,54.18
VOL18040468,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Icd Tughlakabad (India),,,1.00,CC,54.00
VOL18080182,Nomination,Outbound,Garment/Textile,FCL,FOB,Hai Phong (Vietnam),Wewak (Papua New Guinea),1,,,CC,54.00
VOL18100130,Nomination,Outbound,Steel Stainless,LCL,FOB,Ho Chi Minh (Vietnam),Brisbane (Australia),,,1.70,CC,53.70
VOL18060033,Nomination,Inbound,Electrical Equipment,Air,DDU,Taipei (Taiwan),Phnom Penh (Cambodia),,95.00,,PP,52.70
VOL18070487,Free Hand,Inbound,Machinery,FCL,CIF/CNF,Nhavasheva (India),Ho Chi Minh (Vietnam),6,,,PP,52.50
VOL18110172 ,Nomination,Outbound,Carbonate Power,FCL,FOB,Hai Phong (Vietnam),Chennai (India),5,,,PP,52.25
VOL18060040,Nomination,Outbound,Fak,LCL,FOB,Hai Phong (Vietnam),Bangkok (Thailand),,,1.00,PP,52.00
VOL18090007,Free Hand,Outbound,Pickled Cucumber,FCL,FOB,Hai Phong (Vietnam),Poti (Georgia),1,,,PP,51.36
VOL18030351,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),"Detroit, MI (USA)",2,,,CC,51.00
VOL18040373,Nomination,Outbound,Furniture,LCL,FOB,Ho Chi Minh (Vietnam),Manila (Philippines),,,1.20,CC,50.96
VOL18110213 ,Nomination,Outbound,Paper Product,Express/Courier,Inland,Ho Chi Minh (Vietnam),Sydney (Australia),,15.50,,PP,50.69
VOL18080308,Nomination,Outbound,Paper Product,Courier,CIF/CNF,Ho Chi Minh (Vietnam),Sydney (Australia),,23.50,,PP,50.53
VOL18100141,Nomination,Outbound,Paper Product,Air,CIF/CNF,Ho Chi Minh (Vietnam),Melbourne (Australia),,4.50,,PP,50.50
VOL18080069,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),1,,,CC,50.00
VOL18020393,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,50.00
VOL18050070,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,50.00
VOL18030625,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,50.00
VOL18030021,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Dalian (China),2,,,CC,50.00
VOL18060010,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,50.00
VOL18030182,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),2,,,CC,50.00
VOL18070346,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),4,,,CC,50.00
VOL18010549,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Nhava Sheva (India),1,,,PP,50.00
VOL18010339 + VOL18010381,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),1,,,CC,50.00
VOL18010671 + VOL18010723,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),2,,,CC,50.00
VOL18030753,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),1,,,CC,50.00
VOL18050331,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),1,,,CC,50.00
VOL18030719,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Fos Sur Mer (France),1,,,CC,50.00
VOL18060251,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),1,,,CC,50.00
VOL18060499,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),4,,,CC,50.00
VOL18030154,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",1,,,CC,50.00
VOL18030314,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",4,,,CC,50.00
VOL18030312,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",2,,,CC,50.00
VOL18030561,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",6,,,CC,50.00
VOL18100112,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Leam Chabang (Thailand),1,,,CC,50.00
VOL18050091,Free Hand,Inbound,Machinery,FCL,Inland,Fuzhou (China),Ho Chi Minh (Vietnam),2,,,PP,49.54
VOL18020566,Free Hand,Inbound,Machinery,LCL,EXW,Jakarta (Indonesia),Ho Chi Minh (Vietnam),,,2.00,PP,49.00
VOL18050440,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Shuwaikh (Kuwait),2,,,CC,48.18
VOL18010565,Nomination,Outbound,Fak,Air,EXW,Ha Noi (Vietnam),Male (Maldives),,20.00,,PP,48.00
VOL18030520,Nomination,Inbound,Fak,LCL,CIF/CNF,Shenzhen (China),Ho Chi Minh (Vietnam),,,2.11,PP,47.75
VOL18010378,Nomination,Outbound,Chemicals (Non-Hazardous),LCL,FOB,Hai Phong (Vietnam),Bangkok (Thailand),,,1.00,CC,47.40
VOL18060237,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Valparaiso (Chile),,,2.20,CC,47.20
VOL18030091,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Jakarta (Indonesia),1,,,PP,47.00
VOL18040525,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),1,,,CC,46.82
VOL18090265,Nomination,Outbound,Paper Product,Air,EXW,Ho Chi Minh (Vietnam),Newcastle (UK),,1.50,,PP,46.03
VOL18090266,Nomination,Outbound,Paper Product,Air,EXW,Ho Chi Minh (Vietnam),Melbourne (Australia),,1.50,,PP,46.03
VOL18040131,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Icd Dadri (India),1,,,PP,46.00
VOL18060211,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Chennai (India),,,10.60,CC,45.90
VOL18070038,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),1,,,CC,45.00
VOL18040206,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),Nhava Sheva (India),1,,,PP,45.00
VOL18050254,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),1,,,CC,45.00
VOL18100405,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),"Long Beach, CA (USA)",4,,,CC,45.00
VOL18070394,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Klaipeda (Lithuania),2,,,CC,44.55
VOL18070005,Nomination,Outbound,Bag and Luggage,FCL,FOB,Ho Chi Minh (Vietnam),Klaipeda (Lithuania),2,,,CC,44.55
VOL18060016,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),Chennai (India),,,9.70,CC,44.55
VOL18070359,Free Hand,Outbound,Fak,LCL,FOB,Hai Phong (Vietnam),Mundra (India),,,4.40,PP,44.00
VOL18040268,Free Hand,Inbound,Construction Material,Air,FOB,Shanghai (China),Ho Chi Minh (Vietnam),,147.00,,PP,43.80
VOL18020049,Nomination,Inbound,Fak,Air,DDU,Istanbul (Turkey),Ho Chi Minh (Vietnam),,326.00,,PP,43.60
VOL18090060,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,43.30
VOL18080428,Free Hand,Inbound,Plastic Goods,Air,CIF/CNF,Stuttgart (Germany),Ho Chi Minh (Vietnam),,267.00,,PP,43.18
VOL18040306,Free Hand,Inbound,Construction Material,LCL,DDU,Singapore (Singapore),Ho Chi Minh (Vietnam),,,4.39,PP,43.17
VOL18070161,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Koper (Slovenia),1,,,CC,43.00
VOL18050298,Free Hand,Inbound,Fak,Air,Inland,Stuttgart (Germany),Ho Chi Minh (Vietnam),,201.00,,PP,41.57
VOL18050297,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Bangalore (India),,,7.70,CC,41.55
VOL18060381,Free Hand,Inbound,Garment/Textile,LCL,FOB,Hong Kong (Hong Kong),Hai Phong (Vietnam),,,15.94,PP,41.44
VOL18020017,Nomination,Outbound,Machinery,FCL,FOB,Ho Chi Minh (Vietnam),Sahnewal (India),10,,,CC,40.00
VOL18010356,Nomination,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),Klaipeda (Lithuania),1,,,CC,40.00
VOL18010651,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Singapore (Singapore),4,,,PP,40.00
VOL18030179,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,7.00,CC,40.00
VOL18060409,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,39.20
VOL18070068,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Toronto (Canada),2,,,CC,39.00
VOL18060075,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Colombo (Sri Lanka),2,,,PP,39.00
VOL18040280,Free Hand,Inbound,Fak,FCL,CIF/CNF,Laem Chabang (Thailand),Ho Chi Minh (Vietnam),1,,,PP,39.00
VOL18100408 ,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Genoa (Italy),1,,,CC,38.60
VOL18010756,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),,,13.50,CC,38.50
VOL18050526,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Valencia (Spain),,,1.00,CC,37.82
VOL18010613,Free Hand,Inbound,Machinery,Courier,DDU,Kuala Lumpur (Malaysia),Ho Chi Minh (Vietnam),,43.90,,PP,37.15
VOL18030233,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),Bangkok (Thailand),,,1.00,PP,37.00
VOL18030176,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,11.80,CC,37.00
VOL18030313,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,1.50,CC,37.00
VOL18030188,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Charleston, SC (USA)",4,,,CC,36.00
VOL18030300,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Charleston, SC (USA)",4,,,CC,36.00
VOL18030303,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Charleston, SC (USA)",4,,,CC,36.00
VOL18030437,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",4,,,CC,36.00
VOL18100315,Nomination,Outbound,Bicycle Components,LCL,FOB,Hai Phong (Vietnam),Manzanillo (Mexico),,,2.24,CC,35.16
VOL18020129,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,35.00
VOL18100300 ,Nomination,Outbound,Kitchenware,FCL,FOB,Ho Chi Minh (Vietnam),Nhava Sheva (India),1,,,CC,34.94
VOL18010338,Nomination,Outbound,Machinery,LCL,FOB,Ho Chi Minh (Vietnam),Manzanillo (Mexico),,,4.80,CC,33.60
VOL18030270,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Genoa (Italy),1,,,CC,32.50
VOL18090133,Free Hand,Inbound,Electrical Equipment,Air,Inland,Shenzhen (China),Ho Chi Minh (Vietnam),,181.00,,PP,31.82
VOL18030153,Nomination,Outbound,Fak,LCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",,,7.10,CC,31.24
VOL18090450 ,Nomination,Outbound,Furniture,FCL,FOB,Cai Mep (Vietnam),St. Petersburg (Russia),2,,,CC,31.00
VOL18050462,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),Colombo (Sri Lanka),2,,,CC,30.00
VOL18020372,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),St. Petersburg (Russia),2,,,CC,30.00
VOL18010625,Nomination,Outbound,Plastic Goods,FCL,FOB,Hai Phong (Vietnam),St. Petersburg (Russia),2,,,CC,30.00
VOL18020150,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),Rotterdam (Netherlands),2,,,CC,30.00
VOL18040048,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,30.00
VOL18020361,Nomination,Outbound,Foodstuffs,FCL,FOB,Hai Phong (Vietnam),St. Petersburg (Russia),2,,,CC,30.00
VOL18040516,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Xiamen (China),2,,,CC,30.00
VOL18050525,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,30.00
VOL18030278,Free Hand,Outbound,Fak,FCL,FOB,Hai Phong (Vietnam),St. Petersburg (Russia),2,,,CC,30.00
VOL18040322,Nomination,Outbound,Plastic Goods,FCL,FOB,Ho Chi Minh (Vietnam),Karachi (Pakistan),2,,,PP,30.00
VOL18040049,Nomination,Outbound,Construction Material,FCL,FOB,Ho Chi Minh (Vietnam),St. Petersburg (Russia),1,,,CC,30.00
VOL18010219,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),Rotterdam (Netherlands),2,,,CC,30.00
VOL18090526,Free Hand,Outbound,Plastic Goods,Air,Inland,Ho Chi Minh (Vietnam),Frankfurt (Germany),,55.00,,PP,29.55
VOL18090128,Free Hand,Inbound,Fabrics & Yarns,LCL,DDU,Shanghai (China),Sihanoukville (Cambodia),,,1.66,PP,27.71
VOL18030305,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",4,,,CC,27.00
VOL18080015,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,26.82
VOL18010251,Nomination,Outbound,Fak,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,26.82
VOL18080233,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,26.82
VOL18100017,Nomination,Outbound,Furniture,FCL,FOB,Ho Chi Minh (Vietnam),Genoa (Italy),2,,,CC,26.82
VOL18090132,Free Hand,Inbound,Electrical Equipment,LCL,Inland,Jiangmen City (China),Ho Chi Minh (Vietnam),,,1.40,PP,25.91
VOL18020223,Nomination,Outbound,Fabrics & Yarns,LCL,FOB,Ho Chi Minh (Vietnam),"Kansas City, MO (USA)",,,29.52,CC,25.00
VOL18020455,Nomination,Outbound,Fabrics & Yarns,FCL,FOB,Ho Chi Minh (Vietnam),"Los Angeles, CA (USA)",2,,,CC,25.00
